row,col,year,parameter,value
111CA,111CA,1997,intermediate_demand,34.50156527
113FF,111CA,1997,intermediate_demand,12.14719832
212,111CA,1997,intermediate_demand,1.60825171
22,111CA,1997,intermediate_demand,2.947149182
23,111CA,1997,intermediate_demand,0.838009254
321,111CA,1997,intermediate_demand,0.31605207
327,111CA,1997,intermediate_demand,0.015012847
331,111CA,1997,intermediate_demand,0.153026457
332,111CA,1997,intermediate_demand,1.161611691
333,111CA,1997,intermediate_demand,1.50401841
334,111CA,1997,intermediate_demand,0.040965891
335,111CA,1997,intermediate_demand,0.247886139
3361MV,111CA,1997,intermediate_demand,0.549593748
337,111CA,1997,intermediate_demand,0.008001316
339,111CA,1997,intermediate_demand,0.289886675
311FT,111CA,1997,intermediate_demand,21.14328631
313TT,111CA,1997,intermediate_demand,0.275897963
315AL,111CA,1997,intermediate_demand,0.008992367
322,111CA,1997,intermediate_demand,0.198018302
323,111CA,1997,intermediate_demand,0.067976425
324,111CA,1997,intermediate_demand,5.033939081
325,111CA,1997,intermediate_demand,14.34633062
326,111CA,1997,intermediate_demand,1.124568822
42,111CA,1997,intermediate_demand,2.10680632
484,111CA,1997,intermediate_demand,0.372078946
493,111CA,1997,intermediate_demand,0.506330022
511,111CA,1997,intermediate_demand,0.034968799
513,111CA,1997,intermediate_demand,0.344574367
521CI,111CA,1997,intermediate_demand,1.892803465
523,111CA,1997,intermediate_demand,0.234753266
524,111CA,1997,intermediate_demand,2.085550149
ORE,111CA,1997,intermediate_demand,21.1620337
532RL,111CA,1997,intermediate_demand,1.557608955
5411,111CA,1997,intermediate_demand,0.181792052
5415,111CA,1997,intermediate_demand,0.159827762
5412OP,111CA,1997,intermediate_demand,0.815165296
561,111CA,1997,intermediate_demand,0.296780061
562,111CA,1997,intermediate_demand,0.203813084
61,111CA,1997,intermediate_demand,0.046933963
711AS,111CA,1997,intermediate_demand,0.030963612
713,111CA,1997,intermediate_demand,0.010984885
721,111CA,1997,intermediate_demand,0.003994672
722,111CA,1997,intermediate_demand,0.232701336
81,111CA,1997,intermediate_demand,0.22277173
GFE,111CA,1997,intermediate_demand,0.021993818
Other,111CA,1997,intermediate_demand,0.225880952
111CA,113FF,1997,intermediate_demand,0.641479624
113FF,113FF,1997,intermediate_demand,9.564692145
212,113FF,1997,intermediate_demand,0.004016101
22,113FF,1997,intermediate_demand,0.135931346
23,113FF,1997,intermediate_demand,0.053942865
321,113FF,1997,intermediate_demand,0.010002876
327,113FF,1997,intermediate_demand,0.048047005
332,113FF,1997,intermediate_demand,0.172963433
333,113FF,1997,intermediate_demand,0.366805703
334,113FF,1997,intermediate_demand,0.001998582
335,113FF,1997,intermediate_demand,0.1899361
3361MV,113FF,1997,intermediate_demand,0.125922404
3364OT,113FF,1997,intermediate_demand,0.010993137
339,113FF,1997,intermediate_demand,0.001999464
311FT,113FF,1997,intermediate_demand,0.45671673
313TT,113FF,1997,intermediate_demand,0.247938769
322,113FF,1997,intermediate_demand,0.001000215
324,113FF,1997,intermediate_demand,0.642326233
325,113FF,1997,intermediate_demand,1.750767283
326,113FF,1997,intermediate_demand,0.102973172
42,113FF,1997,intermediate_demand,0.026988027
485,113FF,1997,intermediate_demand,0.001998183
487OS,113FF,1997,intermediate_demand,0.076145497
513,113FF,1997,intermediate_demand,0.038956674
521CI,113FF,1997,intermediate_demand,0.242748174
523,113FF,1997,intermediate_demand,0.02098053
524,113FF,1997,intermediate_demand,0.736225782
ORE,113FF,1997,intermediate_demand,0.086924574
532RL,113FF,1997,intermediate_demand,0.18685611
5411,113FF,1997,intermediate_demand,0.12986743
5415,113FF,1997,intermediate_demand,0.046955177
5412OP,113FF,1997,intermediate_demand,0.66040502
561,113FF,1997,intermediate_demand,0.066958612
562,113FF,1997,intermediate_demand,0.030975403
711AS,113FF,1997,intermediate_demand,0.001997898
722,113FF,1997,intermediate_demand,0.035958275
81,113FF,1997,intermediate_demand,0.925165829
GFE,113FF,1997,intermediate_demand,0.003999367
GSLE,113FF,1997,intermediate_demand,0.009991307
Used,113FF,1997,intermediate_demand,0.113045941
Other,113FF,1997,intermediate_demand,0.025989497
211,211,1997,intermediate_demand,10.08810416
212,211,1997,intermediate_demand,0.02406089
213,211,1997,intermediate_demand,2.180341086
22,211,1997,intermediate_demand,0.775451452
23,211,1997,intermediate_demand,0.280284507
327,211,1997,intermediate_demand,0.275859544
331,211,1997,intermediate_demand,1.575119499
332,211,1997,intermediate_demand,1.858835443
333,211,1997,intermediate_demand,2.654633201
334,211,1997,intermediate_demand,0.015964843
335,211,1997,intermediate_demand,0.035934318
3361MV,211,1997,intermediate_demand,0.226522389
339,211,1997,intermediate_demand,0.005989463
322,211,1997,intermediate_demand,0.011984725
323,211,1997,intermediate_demand,0.001996576
324,211,1997,intermediate_demand,1.22280045
325,211,1997,intermediate_demand,1.099215191
326,211,1997,intermediate_demand,0.019965027
42,211,1997,intermediate_demand,0.259497775
481,211,1997,intermediate_demand,0.000998925
486,211,1997,intermediate_demand,0.405331086
487OS,211,1997,intermediate_demand,0.014005968
493,211,1997,intermediate_demand,0.003997147
511,211,1997,intermediate_demand,0.000997743
513,211,1997,intermediate_demand,0.192498375
514,211,1997,intermediate_demand,0.007980915
521CI,211,1997,intermediate_demand,0.451856404
523,211,1997,intermediate_demand,0.436942096
524,211,1997,intermediate_demand,2.928546451
ORE,211,1997,intermediate_demand,0.121712672
532RL,211,1997,intermediate_demand,10.89734203
5411,211,1997,intermediate_demand,0.342139775
5415,211,1997,intermediate_demand,1.84548256
5412OP,211,1997,intermediate_demand,1.111339438
55,211,1997,intermediate_demand,1.313295197
561,211,1997,intermediate_demand,0.397161849
562,211,1997,intermediate_demand,0.194555083
721,211,1997,intermediate_demand,0.000997303
722,211,1997,intermediate_demand,0.011968234
81,211,1997,intermediate_demand,0.066839937
Other,211,1997,intermediate_demand,0.284460741
111CA,212,1997,intermediate_demand,0.012981831
113FF,212,1997,intermediate_demand,0.092836351
211,212,1997,intermediate_demand,0.031035345
212,212,1997,intermediate_demand,4.819039944
213,212,1997,intermediate_demand,0.729957803
22,212,1997,intermediate_demand,1.790242096
23,212,1997,intermediate_demand,1.663652691
321,212,1997,intermediate_demand,0.117780726
327,212,1997,intermediate_demand,0.233727025
331,212,1997,intermediate_demand,0.413234052
332,212,1997,intermediate_demand,0.662434814
333,212,1997,intermediate_demand,2.896231063
334,212,1997,intermediate_demand,0.035897221
335,212,1997,intermediate_demand,0.015960286
3361MV,212,1997,intermediate_demand,0.692083397
3364OT,212,1997,intermediate_demand,0.002991691
339,212,1997,intermediate_demand,0.02094931
313TT,212,1997,intermediate_demand,0.000997607
322,212,1997,intermediate_demand,0.091822385
323,212,1997,intermediate_demand,0.001995261
324,212,1997,intermediate_demand,2.826363715
325,212,1997,intermediate_demand,1.844786609
326,212,1997,intermediate_demand,0.881872828
42,212,1997,intermediate_demand,0.076800624
481,212,1997,intermediate_demand,0.01996535
485,212,1997,intermediate_demand,0.003987784
487OS,212,1997,intermediate_demand,0.702837324
493,212,1997,intermediate_demand,0.196729949
513,212,1997,intermediate_demand,0.059804595
514,212,1997,intermediate_demand,0.001993914
521CI,212,1997,intermediate_demand,0.385768506
