name,description,set
T00OSUB,Less: Other subsidies on production,sector_subsidy
Trade,Trade margins,margin
Trans,Transport margins,margin
F02E,Nonresidential private fixed investment in equipment,exogenous_final_demand
F02N,Nonresidential private fixed investment in intellectual property products,exogenous_final_demand
F02R,Residential private fixed investment,exogenous_final_demand
F02S,Nonresidential private fixed investment in structures,exogenous_final_demand
F030,Change in private inventories,exogenous_final_demand
F06C,National defense: Consumption expenditures,exogenous_final_demand
F06E,Federal national defense: Gross investment in equipment,exogenous_final_demand
F06N,Federal national defense: Gross investment in intellectual property products,exogenous_final_demand
F06S,Federal national defense: Gross investment in structures,exogenous_final_demand
F07C,Nondefense: Consumption expenditures,exogenous_final_demand
F07E,Federal nondefense: Gross investment in equipment,exogenous_final_demand
F07N,Federal nondefense: Gross investment in intellectual property products,exogenous_final_demand
F07S,Federal nondefense: Gross investment in structures,exogenous_final_demand
F10C,State and local government consumption expenditures,exogenous_final_demand
F10E,State and local: Gross investment in equipment,exogenous_final_demand
F10N,State and local: Gross investment in intellectual property products,exogenous_final_demand
F10S,State and local: Gross investment in structures,exogenous_final_demand
F010,Personal consumption expenditures,personal_consumption
MDTY,Import duties,duty
TOP,Tax on products,tax
MCIF,import,import
SUB,Subsidies on products,subsidy
V001,Compensation of employees,labor_demand
F040,Exports of goods and services,export
111CA,Farms,commodity
113FF,"Forestry, fishing, and related activities",commodity
211,Oil and gas extraction,commodity
212,"Mining, except oil and gas",commodity
213,Support activities for mining,commodity
22,Utilities,commodity
23,Construction,commodity
321,Wood products,commodity
327,Nonmetallic mineral products,commodity
331,Primary metals,commodity
332,Fabricated metal products,commodity
333,Machinery,commodity
334,Computer and electronic products,commodity
335,"Electrical equipment, appliances, and components",commodity
3361MV,"Motor vehicles, bodies and trailers, and parts",commodity
3364OT,Other transportation equipment,commodity
337,Furniture and related products,commodity
339,Miscellaneous manufacturing,commodity
311FT,Food and beverage and tobacco products,commodity
313TT,Textile mills and textile product mills,commodity
315AL,Apparel and leather and allied products,commodity
322,Paper products,commodity
323,Printing and related support activities,commodity
324,Petroleum and coal products,commodity
325,Chemical products,commodity
326,Plastics and rubber products,commodity
42,Wholesale trade,commodity
441,Motor vehicle and parts dealers,commodity
445,Food and beverage stores,commodity
452,General merchandise stores,commodity
4A0,Other retail,commodity
481,Air transportation,commodity
482,Rail transportation,commodity
483,Water transportation,commodity
484,Truck transportation,commodity
485,Transit and ground passenger transportation,commodity
486,Pipeline transportation,commodity
487OS,Other transportation and support activities,commodity
493,Warehousing and storage,commodity
511,"Publishing industries, except internet (includes software)",commodity
512,Motion picture and sound recording industries,commodity
513,Broadcasting and telecommunications,commodity
514,"Data processing, internet publishing, and other information services",commodity
521CI,"Federal Reserve banks, credit intermediation, and related activities",commodity
523,"Securities, commodity contracts, and investments",commodity
524,Insurance carriers and related activities,commodity
